timestamp,elapsed_seconds,left_ear,right_ear,average_ear,smoothed_ear,eye_state,blink_event,blink_duration,face_detected
2026-08-11T22:35:30.360167,47.8068,0.069103,0.083935,0.076519,0.075906,CLOSED,0,0.0,1
2026-08-11T22:35:30.392700,47.8391,0.107147,0.084005,0.095576,0.082791,CLOSED,0,0.0,1
2026-08-11T22:35:30.428564,47.8735,0.117932,0.083514,0.100723,0.089067,CLOSED,0,0.0,1
2026-08-11T22:35:30.460916,47.9076,0.12364,0.083245,0.103443,0.094098,CLOSED,0,0.0,1
2026-08-11T22:35:30.501280,47.9487,0.29247,0.300837,0.296654,0.164993,CLOSED,0,0.0,1
2026-08-11T22:35:30.535514,47.9826,0.326101,0.334929,0.330515,0.222926,CLOSED,0,0.0,1
2026-08-11T22:35:30.572358,48.0168,0.330378,0.33791,0.334144,0.261852,OPENING,0,0.0,1
2026-08-11T22:35:30.598518,48.0451,0.362731,0.354487,0.358609,0.295717,OPEN,0,0.874762,1
2026-08-11T22:35:30.631648,48.0794,0.36498,0.360964,0.362972,0.319256,OPEN,0,0.0,1
2026-08-11T22:35:30.666297,48.1136,0.365191,0.361804,0.363497,0.334741,OPEN,0,0.0,1
2026-08-11T22:35:30.699316,48.1453,0.364464,0.364254,0.364359,0.345107,OPEN,0,0.0,1
2026-08-11T22:35:30.730832,48.1791,0.368047,0.368493,0.36827,0.353214,OPEN,0,0.0,1
2026-08-11T22:35:30.764067,48.2119,0.371212,0.372086,0.371649,0.359666,OPEN,0,0.0,1
2026-08-11T22:35:30.788543,48.2362,0.382884,0.396398,0.389641,0.370157,OPEN,0,0.0,1
2026-08-11T22:35:30.820032,48.268,0.389182,0.405985,0.397584,0.379757,OPEN,0,0.0,1
2026-08-11T22:35:30.853485,48.3026,0.391387,0.407616,0.399502,0.386667,OPEN,0,0.0,1
2026-08-11T22:35:30.890676,48.3397,0.392391,0.40494,0.398666,0.390867,OPEN,0,0.0,1
2026-08-11T22:35:30.924871,48.3718,0.394392,0.404995,0.399694,0.393956,OPEN,0,0.0,1
2026-08-11T22:35:30.948666,48.3954,0.394223,0.404072,0.399147,0.395773,OPEN,0,0.0,1
2026-08-11T22:35:31.002735,48.4487,0.082794,0.102291,0.092543,0.289642,OPEN,0,0.0,1
2026-08-11T22:35:31.025519,48.4719,0.055312,0.064445,0.059878,0.209225,CLOSING,0,0.0,1
2026-08-11T22:35:31.060046,48.506,0.043198,0.047007,0.045103,0.151782,CLOSING,0,0.0,1
2026-08-11T22:35:31.094822,48.5417,0.055366,0.023176,0.039271,0.112403,CLOSED,0,0.0,1
2026-08-11T22:35:31.130514,48.5764,0.068387,0.026224,0.047305,0.089619,CLOSED,0,0.0,1
2026-08-11T22:35:31.165948,48.6129,0.075362,0.033499,0.05443,0.077303,CLOSED,0,0.0,1
2026-08-11T22:35:31.196940,48.6458,0.13645,0.109947,0.123199,0.093366,CLOSED,0,0.0,1
2026-08-11T22:35:31.231446,48.6795,0.169318,0.161433,0.165375,0.118569,CLOSED,0,0.0,1
2026-08-11T22:35:31.267472,48.7126,0.185499,0.189741,0.18762,0.142737,CLOSED,0,0.0,1
2026-08-11T22:35:31.291109,48.7396,0.357544,0.388205,0.372875,0.223285,CLOSED,0,0.0,1
2026-08-11T22:35:31.313744,48.7614,0.394623,0.414588,0.404606,0.286747,OPENING,0,0.0,1
2026-08-11T22:35:31.347812,48.7952,0.40581,0.415371,0.410591,0.330093,OPEN,1,0.323296,1
2026-08-11T22:35:31.399839,48.8472,0.381036,0.381892,0.381464,0.348073,OPEN,0,0.0,1
2026-08-11T22:35:31.431470,48.8795,0.381572,0.370201,0.375886,0.357808,OPEN,0,0.0,1
2026-08-11T22:35:31.464367,48.9125,0.381233,0.362829,0.372031,0.362786,OPEN,0,0.0,1
2026-08-11T22:35:31.499309,48.9468,0.093569,0.11425,0.103909,0.272179,OPEN,0,0.0,1
2026-08-11T22:35:31.520185,48.9692,0.046629,0.060559,0.053594,0.195674,CLOSING,0,0.0,1
2026-08-11T22:35:31.557417,49.0038,0.031805,0.047579,0.039692,0.14108,CLOSING,0,0.0,1
2026-08-11T22:35:31.590635,49.0379,0.143852,0.175686,0.159769,0.147621,CLOSED,0,0.0,1
2026-08-11T22:35:31.627185,49.0729,0.205603,0.201513,0.203558,0.167199,CLOSED,0,0.0,1
2026-08-11T22:35:31.649829,49.0971,0.243014,0.226178,0.234596,0.190788,CLOSED,0,0.0,1
2026-08-11T22:35:31.692275,49.138,0.365962,0.361283,0.363623,0.25128,OPENING,0,0.0,1
2026-08-11T22:35:31.727081,49.1727,0.38942,0.390914,0.390167,0.299891,OPEN,1,0.203531,1
2026-08-11T22:35:31.761585,49.2078,0.394638,0.401844,0.398241,0.334313,OPEN,0,0.0,1
2026-08-11T22:35:31.795323,49.2414,0.395959,0.405309,0.400634,0.357525,OPEN,0,0.0,1
2026-08-11T22:35:31.829218,49.2753,0.41142,0.41006,0.41074,0.37615,OPEN,0,0.0,1
2026-08-11T22:35:31.863554,49.3097,0.417697,0.413954,0.415825,0.390037,OPEN,0,0.0,1
2026-08-11T22:35:31.896052,49.3422,0.427005,0.412511,0.419758,0.400439,OPEN,0,0.0,1
2026-08-11T22:35:31.932538,49.378,0.428356,0.411365,0.419861,0.407237,OPEN,0,0.0,1
2026-08-11T22:35:31.965754,49.4119,0.427532,0.410778,0.419155,0.411408,OPEN,0,0.0,1
2026-08-11T22:35:31.995332,49.4416,0.134044,0.12966,0.131852,0.313564,OPEN,0,0.0,1
2026-08-11T22:35:32.028847,49.4756,0.098277,0.082427,0.090352,0.235439,CLOSING,0,0.0,1
2026-08-11T22:35:32.066123,49.5124,0.099223,0.072683,0.085953,0.183119,CLOSING,0,0.0,1
2026-08-11T22:35:32.101680,49.5479,0.124491,0.083009,0.10375,0.15534,CLOSED,0,0.0,1
2026-08-11T22:35:32.216452,49.6642,0.337438,0.326279,0.331858,0.217121,CLOSED,0,0.0,1
2026-08-11T22:35:32.250953,49.698,0.359482,0.353285,0.356384,0.265863,OPENING,0,0.0,1
2026-08-11T22:35:32.273314,49.7201,0.365028,0.362004,0.363516,0.300042,OPEN,1,0.244489,1
2026-08-11T22:35:32.307811,49.7541,0.393309,0.388115,0.390712,0.331776,OPEN,0,0.0,1
2026-08-11T22:35:32.343141,49.7894,0.401689,0.397786,0.399738,0.355563,OPEN,0,0.0,1
2026-08-11T22:35:32.392042,49.8383,0.233976,0.236916,0.235446,0.313522,OPEN,0,0.0,1
2026-08-11T22:35:32.427947,49.874,0.195494,0.192196,0.193845,0.271635,OPEN,0,0.0,1
2026-08-11T22:35:32.463550,49.9095,0.185733,0.168845,0.177289,0.238614,CLOSING,0,0.0,1
2026-08-11T22:35:32.490453,49.9372,0.108001,0.125932,0.116966,0.196037,CLOSING,0,0.0,1
2026-08-11T22:35:32.524494,49.9709,0.081913,0.105545,0.093729,0.160229,CLOSED,0,0.0,1
2026-08-11T22:35:32.561530,50.0069,0.074564,0.099187,0.086876,0.134555,CLOSED,0,0.0,1
2026-08-11T22:35:32.599783,50.0408,0.071055,0.095524,0.08329,0.116612,CLOSED,0,0.0,1
2026-08-11T22:35:32.622467,50.0692,0.292008,0.278367,0.285187,0.175614,CLOSED,0,0.0,1
2026-08-11T22:35:32.655741,50.1036,0.354045,0.337176,0.345611,0.235113,CLOSED,0,0.0,1
2026-08-11T22:35:32.698088,50.1415,0.417227,0.420887,0.419057,0.299493,OPENING,0,0.0,1
2026-08-11T22:35:32.721287,50.1681,0.426812,0.435171,0.430991,0.345518,OPEN,1,0.258569,1
2026-08-11T22:35:32.754923,50.2022,0.426691,0.436881,0.431786,0.375711,OPEN,0,0.0,1
2026-08-11T22:35:32.795897,50.2426,0.176834,0.199924,0.188379,0.310145,OPEN,0,0.0,1
2026-08-11T22:35:32.819403,50.266,0.131041,0.171348,0.151194,0.254512,OPEN,0,0.0,1
2026-08-11T22:35:32.853783,50.3006,0.109268,0.146655,0.127962,0.21022,CLOSING,0,0.0,1
2026-08-11T22:35:32.906160,50.352,0.136127,0.139679,0.137903,0.184909,CLOSED,0,0.0,1
2026-08-11T22:35:32.938512,50.386,0.144755,0.147961,0.146358,0.171416,CLOSED,0,0.0,1
2026-08-11T22:35:32.971850,50.4192,0.149604,0.152448,0.151026,0.164279,CLOSED,0,0.0,1
2026-08-11T22:35:32.998320,50.4414,0.15205,0.154365,0.153208,0.160404,CLOSED,0,0.0,1
2026-08-11T22:35:33.030638,50.4772,0.349056,0.332921,0.340988,0.223609,CLOSED,0,0.0,1
2026-08-11T22:35:33.064012,50.5105,0.384871,0.365736,0.375304,0.276702,OPENING,0,0.0,1
2026-08-11T22:35:33.098845,50.5434,0.38173,0.378687,0.380209,0.312929,OPEN,1,0.242749,1
2026-08-11T22:35:33.118945,50.5677,0.381243,0.384825,0.383034,0.337466,OPEN,0,0.0,1
2026-08-11T22:35:33.153347,50.6018,0.38238,0.389348,0.385864,0.354405,OPEN,0,0.0,1
2026-08-11T22:35:33.191251,50.6359,0.102187,0.130913,0.11655,0.271156,OPEN,0,0.0,1
2026-08-11T22:35:33.212499,50.6606,0.062072,0.075819,0.068946,0.200382,CLOSING,0,0.0,1
2026-08-11T22:35:33.246439,50.6954,0.055096,0.062526,0.058811,0.150832,CLOSING,0,0.0,1
2026-08-11T22:35:33.310402,50.7577,0.086047,0.194654,0.14035,0.147164,CLOSED,0,0.0,1
2026-08-11T22:35:33.346308,50.7929,0.137392,0.249409,0.1934,0.163346,CLOSED,0,0.0,1
2026-08-11T22:35:33.381709,50.8271,0.167688,0.27085,0.219269,0.182919,CLOSED,0,0.0,1
2026-08-11T22:35:33.414072,50.8609,0.187072,0.280362,0.233717,0.200699,CLOSED,0,0.0,1
2026-08-11T22:35:33.446991,50.8943,0.348388,0.334592,0.34149,0.249976,CLOSED,0,0.0,1
2026-08-11T22:35:33.483904,50.9291,0.388311,0.352833,0.370572,0.292184,OPENING,0,0.0,1
2026-08-11T22:35:33.515823,50.9631,0.364273,0.323961,0.344117,0.310361,OPEN,1,0.302515,1
2026-08-11T22:35:33.550249,50.9969,0.331106,0.318562,0.324834,0.315426,OPEN,0,0.0,1
2026-08-11T22:35:33.586622,51.0305,0.291052,0.31068,0.300866,0.31033,OPEN,0,0.0,1
2026-08-11T22:35:33.622327,51.0691,0.127828,0.138259,0.133044,0.24828,CLOSING,0,0.0,1
