timestamp,elapsed_seconds,left_ear,right_ear,average_ear,face_detected
2026-08-11T18:40:50.454279,17.637,0.415276,0.40185,0.408563,1
2026-08-11T18:40:50.483276,17.6648,0.422937,0.410727,0.416832,1
2026-08-11T18:40:50.509003,17.693,0.420714,0.403049,0.411881,1
2026-08-11T18:40:50.541652,17.7199,0.41886,0.398952,0.408906,1
2026-08-11T18:40:50.575555,17.7577,0.420655,0.403167,0.411911,1
2026-08-11T18:40:50.640410,17.8222,0.418726,0.402327,0.410526,1
2026-08-11T18:40:50.672109,17.8511,0.417473,0.401409,0.409441,1
2026-08-11T18:40:50.710493,17.8914,0.418084,0.401414,0.409749,1
2026-08-11T18:40:50.739584,17.9213,0.418483,0.401203,0.409843,1
2026-08-11T18:40:50.768703,17.9507,0.418267,0.397931,0.408099,1
2026-08-11T18:40:50.797434,17.9788,0.418515,0.39671,0.407612,1
2026-08-11T18:40:50.824553,18.0075,0.418345,0.396283,0.407314,1
2026-08-11T18:40:50.853389,18.0352,0.421409,0.398598,0.410004,1
2026-08-11T18:40:50.879257,18.0632,0.4237,0.399378,0.411539,1
2026-08-11T18:40:50.915624,18.099,0.42355,0.403628,0.413589,1
2026-08-11T18:40:50.940370,18.1256,0.42354,0.407504,0.415522,1
2026-08-11T18:40:50.972897,18.1573,0.425091,0.411006,0.418049,1
2026-08-11T18:40:51.043598,18.2249,0.385235,0.364471,0.374853,1
2026-08-11T18:40:51.077240,18.2544,0.379203,0.354418,0.366811,1
2026-08-11T18:40:51.105516,18.2869,0.122039,0.168419,0.145229,1
2026-08-11T18:40:51.136201,18.3165,0.109443,0.124187,0.116815,1
2026-08-11T18:40:51.180259,18.3601,0.057442,0.08561,0.071526,1
2026-08-11T18:40:51.209480,18.3906,0.067466,0.081984,0.074725,1
2026-08-11T18:40:51.242545,18.4201,0.069088,0.082281,0.075684,1
2026-08-11T18:40:51.268279,18.4522,0.055099,0.057809,0.056454,1
2026-08-11T18:40:51.293920,18.4779,0.055979,0.044455,0.050217,1
2026-08-11T18:40:51.320399,18.5033,0.064387,0.040161,0.052274,1
2026-08-11T18:40:51.347682,18.5309,0.068434,0.042351,0.055392,1
2026-08-11T18:40:51.375617,18.5592,0.070561,0.058104,0.064333,1
2026-08-11T18:40:51.449952,18.6323,0.229366,0.227227,0.228296,1
2026-08-11T18:40:51.478028,18.6602,0.268364,0.271737,0.27005,1
2026-08-11T18:40:51.504678,18.688,0.33101,0.327374,0.329192,1
2026-08-11T18:40:51.533021,18.7149,0.349698,0.34087,0.345284,1
2026-08-11T18:40:51.564406,18.7485,0.374274,0.354465,0.364369,1
2026-08-11T18:40:51.590045,18.7743,0.371067,0.354031,0.362549,1
2026-08-11T18:40:51.616639,18.8,0.368763,0.352505,0.360634,1
2026-08-11T18:40:51.651839,18.8352,0.354289,0.346588,0.350439,1
2026-08-11T18:40:51.679301,18.8621,0.347391,0.346207,0.346799,1
2026-08-11T18:40:51.710780,18.894,0.346973,0.340079,0.343526,1
2026-08-11T18:40:51.737177,18.9206,0.343717,0.334662,0.339189,1
2026-08-11T18:40:51.774081,18.9572,0.354403,0.339601,0.347002,1
2026-08-11T18:40:51.838610,19.0228,0.357096,0.341548,0.349322,1
2026-08-11T18:40:51.862938,19.0466,0.354632,0.339697,0.347165,1
2026-08-11T18:40:51.903836,19.0892,0.343276,0.338813,0.341044,1
2026-08-11T18:40:51.937322,19.1218,0.339363,0.34074,0.340052,1
2026-08-11T18:40:51.965114,19.1489,0.342272,0.339499,0.340886,1
2026-08-11T18:40:51.990739,19.1744,0.344907,0.339911,0.342409,1
2026-08-11T18:40:52.017052,19.2011,0.34554,0.340185,0.342863,1
2026-08-11T18:40:52.045357,19.2294,0.347076,0.342157,0.344616,1
2026-08-11T18:40:52.072203,19.2556,0.348021,0.343775,0.345898,1
2026-08-11T18:40:52.116377,19.2997,0.351494,0.344731,0.348112,1
2026-08-11T18:40:52.142972,19.3268,0.351835,0.34474,0.348288,1
2026-08-11T18:40:52.175096,19.3578,0.354077,0.345705,0.349891,1
2026-08-11T18:40:52.247938,19.4231,0.355389,0.350988,0.353188,1
2026-08-11T18:40:52.275722,19.4585,0.354396,0.352528,0.353462,1
2026-08-11T18:40:52.302391,19.4862,0.356011,0.351176,0.353594,1
2026-08-11T18:40:52.328816,19.5121,0.357038,0.350426,0.353732,1
2026-08-11T18:40:52.368560,19.5528,0.35577,0.350218,0.352994,1
2026-08-11T18:40:52.395150,19.5777,0.356522,0.349986,0.353254,1
2026-08-11T18:40:52.421170,19.605,0.356999,0.349904,0.353451,1
2026-08-11T18:40:52.448125,19.6311,0.342308,0.345549,0.343928,1
2026-08-11T18:40:52.475231,19.6579,0.337612,0.34311,0.340361,1
2026-08-11T18:40:52.510463,19.6946,0.34635,0.345555,0.345953,1
2026-08-11T18:40:52.536103,19.7203,0.347227,0.346527,0.346877,1
2026-08-11T18:40:52.573931,19.7573,0.350512,0.344156,0.347334,1
2026-08-11T18:40:52.647246,19.8294,0.350997,0.342689,0.346843,1
2026-08-11T18:40:52.673142,19.857,0.353284,0.342332,0.347808,1
2026-08-11T18:40:52.700418,19.8855,0.363221,0.343295,0.353258,1
2026-08-11T18:40:52.726622,19.9104,0.366435,0.34264,0.354537,1
2026-08-11T18:40:52.765620,19.9487,0.368054,0.350023,0.359039,1
2026-08-11T18:40:52.791934,19.9756,0.37207,0.35293,0.3625,1
2026-08-11T18:40:52.817711,20.0013,0.371812,0.354309,0.36306,1
2026-08-11T18:40:52.847636,20.0323,0.159313,0.18738,0.173347,1
2026-08-11T18:40:52.873616,20.058,0.112494,0.143146,0.12782,1
2026-08-11T18:40:52.912533,20.0955,0.096739,0.116094,0.106416,1
2026-08-11T18:40:52.939584,20.123,0.102036,0.133234,0.117635,1
2026-08-11T18:40:52.973553,20.1572,0.099127,0.109019,0.104073,1
2026-08-11T18:40:53.042341,20.2249,0.099684,0.118096,0.10889,1
2026-08-11T18:40:53.069161,20.2523,0.102579,0.122231,0.112405,1
2026-08-11T18:40:53.112612,20.2999,0.069083,0.091031,0.080057,1
2026-08-11T18:40:53.143988,20.33,0.066962,0.087724,0.077343,1
2026-08-11T18:40:53.169417,20.3533,0.073153,0.080314,0.076733,1
2026-08-11T18:40:53.194645,20.3788,0.076943,0.077598,0.077271,1
2026-08-11T18:40:53.221696,20.405,0.078793,0.07393,0.076362,1
2026-08-11T18:40:53.248415,20.4314,0.080164,0.07695,0.078557,1
2026-08-11T18:40:53.275176,20.459,0.082767,0.078376,0.080571,1
2026-08-11T18:40:53.315716,20.4984,0.078639,0.07683,0.077734,1
2026-08-11T18:40:53.341472,20.5251,0.079916,0.07872,0.079318,1
2026-08-11T18:40:53.373752,20.5577,0.081624,0.078965,0.080295,1
2026-08-11T18:40:53.443412,20.6265,0.086786,0.090541,0.088664,1
2026-08-11T18:40:53.469677,20.653,0.087996,0.092187,0.090091,1
2026-08-11T18:40:53.503067,20.6869,0.088613,0.096528,0.092571,1
2026-08-11T18:40:53.532187,20.7137,0.09683,0.109812,0.103321,1
2026-08-11T18:40:53.590422,20.7733,0.133336,0.21846,0.175898,1
2026-08-11T18:40:53.617874,20.801,0.138834,0.228658,0.183746,1
2026-08-11T18:40:53.645096,20.8279,0.140529,0.238185,0.189357,1
2026-08-11T18:40:53.671289,20.8545,0.136538,0.173642,0.15509,1
2026-08-11T18:40:53.697709,20.8817,0.129749,0.150343,0.140046,1
2026-08-11T18:40:53.724451,20.9081,0.122015,0.13924,0.130628,1
2026-08-11T18:40:53.751442,20.9347,0.117468,0.128765,0.123116,1
2026-08-11T18:40:53.777931,20.962,0.114897,0.134138,0.124518,1
2026-08-11T18:40:53.846525,21.0298,0.077923,0.094526,0.086224,1
2026-08-11T18:40:53.875128,21.0571,0.074858,0.0907,0.082779,1
2026-08-11T18:40:53.907599,21.0872,0.082193,0.09869,0.090442,1
2026-08-11T18:40:53.934242,21.1176,0.084509,0.104011,0.09426,1
2026-08-11T18:40:53.981931,21.1656,0.094687,0.114631,0.104659,1
2026-08-11T18:40:54.007925,21.1919,0.096052,0.117731,0.106892,1
2026-08-11T18:40:54.033327,21.2168,0.097068,0.120009,0.108539,1
2026-08-11T18:40:54.055690,21.2428,0.100166,0.116334,0.10825,1
2026-08-11T18:40:54.084565,21.2653,0.098801,0.108919,0.10386,1
2026-08-11T18:40:54.108949,21.2948,0.10909,0.118355,0.113722,1
2026-08-11T18:40:54.130715,21.3181,0.124189,0.132289,0.128239,1
2026-08-11T18:40:54.188462,21.3701,0.103354,0.111624,0.107489,1
2026-08-11T18:40:54.244551,21.4225,0.119912,0.133534,0.126723,1
2026-08-11T18:40:54.276960,21.4549,0.127961,0.140952,0.134457,1
2026-08-11T18:40:54.305747,21.4906,0.130577,0.139711,0.135144,1
2026-08-11T18:40:54.332486,21.5163,0.133869,0.127821,0.130845,1
2026-08-11T18:40:54.384474,21.5687,0.134752,0.138705,0.136728,1
2026-08-11T18:40:54.411767,21.5953,0.135771,0.144215,0.139993,1
2026-08-11T18:40:54.438393,21.6212,0.137503,0.147715,0.142609,1
2026-08-11T18:40:54.465212,21.649,0.122714,0.135826,0.12927,1
2026-08-11T18:40:54.494265,21.675,0.114937,0.136192,0.125564,1
2026-08-11T18:40:54.519550,21.7033,0.096742,0.10777,0.102256,1
2026-08-11T18:40:54.546083,21.7299,0.088581,0.103196,0.095889,1
2026-08-11T18:40:54.575076,21.7585,0.083182,0.101154,0.092168,1
2026-08-11T18:40:54.642880,21.8251,0.08267,0.094491,0.08858,1
2026-08-11T18:40:54.669343,21.8526,0.084466,0.096124,0.090295,1
2026-08-11T18:40:54.702860,21.8864,0.087065,0.0991,0.093083,1
2026-08-11T18:40:54.728775,21.9124,0.08647,0.099229,0.092849,1
2026-08-11T18:40:54.790389,21.9737,0.095939,0.124372,0.110156,1
2026-08-11T18:40:54.817180,22.0003,0.104711,0.141128,0.12292,1
2026-08-11T18:40:54.842502,22.0282,0.106086,0.141038,0.123562,1
2026-08-11T18:40:54.868951,22.0522,0.108922,0.143724,0.126323,1
2026-08-11T18:40:54.893941,22.0784,0.104822,0.140519,0.12267,1
2026-08-11T18:40:54.919660,22.1036,0.094876,0.104505,0.099691,1
2026-08-11T18:40:54.947003,22.13,0.090193,0.097651,0.093922,1
2026-08-11T18:40:54.974634,22.1581,0.096346,0.090557,0.093451,1
2026-08-11T18:40:55.048966,22.2302,0.142332,0.196787,0.16956,1
2026-08-11T18:40:55.075956,22.2583,0.143125,0.190769,0.166947,1
2026-08-11T18:40:55.104236,22.2857,0.138389,0.185723,0.162056,1
2026-08-11T18:40:55.129485,22.3143,0.132845,0.184842,0.158844,1
2026-08-11T18:40:55.189645,22.3699,0.109853,0.168965,0.139409,1
2026-08-11T18:40:55.216420,22.3995,0.102854,0.167512,0.135183,1
2026-08-11T18:40:55.242878,22.4262,0.097908,0.164425,0.131167,1
2026-08-11T18:40:55.267797,22.4523,0.098624,0.150454,0.124539,1
2026-08-11T18:40:55.294477,22.4781,0.10075,0.147434,0.124092,1
2026-08-11T18:40:55.319036,22.5039,0.110271,0.147255,0.128763,1
2026-08-11T18:40:55.345976,22.5289,0.113596,0.147558,0.130577,1
2026-08-11T18:40:55.371722,22.5567,0.111134,0.144762,0.127948,1
2026-08-11T18:40:55.442073,22.6252,0.141081,0.141292,0.141187,1
2026-08-11T18:40:55.469478,22.6528,0.152708,0.140512,0.14661,1
2026-08-11T18:40:55.511792,22.6941,0.150255,0.112171,0.131213,1
2026-08-11T18:40:55.536756,22.7214,0.152223,0.104525,0.128374,1
2026-08-11T18:40:55.584180,22.7664,0.130613,0.109454,0.120033,1
2026-08-11T18:40:55.612604,22.7953,0.116401,0.10381,0.110106,1
2026-08-11T18:40:55.637017,22.8219,0.109439,0.097408,0.103423,1
2026-08-11T18:40:55.664175,22.8464,0.105529,0.108695,0.107112,1
2026-08-11T18:40:55.692898,22.8747,0.102956,0.129652,0.116304,1
2026-08-11T18:40:55.717047,22.9019,0.106973,0.159612,0.133292,1
2026-08-11T18:40:55.742443,22.927,0.111295,0.170013,0.140654,1
2026-08-11T18:40:55.774215,22.9576,0.114967,0.169463,0.142215,1
2026-08-11T18:40:55.843110,23.0243,0.077616,0.099552,0.088584,1
2026-08-11T18:40:55.872947,23.0538,0.068915,0.096603,0.082759,1
2026-08-11T18:40:55.903760,23.0853,0.09378,0.125287,0.109533,1
2026-08-11T18:40:55.932155,23.1141,0.102652,0.135241,0.118946,1
2026-08-11T18:40:55.995622,23.1739,0.119432,0.127614,0.123523,1
2026-08-11T18:40:56.022962,23.206,0.125698,0.109412,0.117555,1
2026-08-11T18:40:56.048723,23.2324,0.132345,0.106145,0.119245,1
2026-08-11T18:40:56.076143,23.2582,0.132359,0.130883,0.131621,1
2026-08-11T18:40:56.103029,23.2863,0.129725,0.139993,0.134859,1
2026-08-11T18:40:56.129655,23.3124,0.12909,0.13026,0.129675,1
2026-08-11T18:40:56.155894,23.3403,0.12853,0.126578,0.127554,1
2026-08-11T18:40:56.182275,23.3652,0.144169,0.142254,0.143211,1
2026-08-11T18:40:56.247504,23.4306,0.119863,0.100415,0.110139,1
2026-08-11T18:40:56.274821,23.4572,0.116158,0.101899,0.109029,1
2026-08-11T18:40:56.302591,23.4851,0.117346,0.104374,0.11086,1
2026-08-11T18:40:56.328922,23.5123,0.121914,0.107352,0.114633,1
2026-08-11T18:40:56.388311,23.5382,0.126595,0.110169,0.118382,1
2026-08-11T18:40:56.411569,23.5977,0.120204,0.107744,0.113974,1
2026-08-11T18:40:56.456393,23.6202,0.119253,0.10846,0.113857,1
2026-08-11T18:40:56.483150,23.6665,0.108787,0.104761,0.106774,1
2026-08-11T18:40:56.510493,23.6918,0.106694,0.103672,0.105183,1
2026-08-11T18:40:56.538563,23.7199,0.101837,0.103851,0.102844,1
2026-08-11T18:40:56.563268,23.7475,0.097962,0.101174,0.099568,1
2026-08-11T18:40:56.593682,23.7735,0.089555,0.077243,0.083399,1
